Model Outputs
200
,,HRI_Hitesh_Lower:LAbsAnkleAngle,,,HRI_Hitesh_Lower:LAnkleAngles,,,HRI_Hitesh_Lower:LAnkleForce,,,HRI_Hitesh_Lower:LAnkleMoment,,,HRI_Hitesh_Lower:LAnklePower,,,HRI_Hitesh_Lower:LFE,,,,,,,,,HRI_Hitesh_Lower:LFO,,,,,,,,,HRI_Hitesh_Lower:LFootProgressAngles,,,HRI_Hitesh_Lower:LHipAngles,,,HRI_Hitesh_Lower:LHipForce,,,HRI_Hitesh_Lower:LHipMoment,,,HRI_Hitesh_Lower:LHipPower,,,HRI_Hitesh_Lower:LKneeAngles,,,HRI_Hitesh_Lower:LKneeForce,,,HRI_Hitesh_Lower:LKneeMoment,,,HRI_Hitesh_Lower:LKneePower,,,HRI_Hitesh_Lower:LPelvisAngles,,,HRI_Hitesh_Lower:LTI,,,,,,,,,HRI_Hitesh_Lower:LTO,,,,,,,,,HRI_Hitesh_Lower:PEL,,,,,,,,,HRI_Hitesh_Lower:RAbsAnkleAngle,,,HRI_Hitesh_Lower:RAnkleAngles,,,HRI_Hitesh_Lower:RAnkleForce,,,HRI_Hitesh_Lower:RAnkleMoment,,,HRI_Hitesh_Lower:RAnklePower,,,HRI_Hitesh_Lower:RFE,,,,,,,,,HRI_Hitesh_Lower:RFO,,,,,,,,,HRI_Hitesh_Lower:RFootProgressAngles,,,HRI_Hitesh_Lower:RHipAngles,,,HRI_Hitesh_Lower:RHipForce,,,HRI_Hitesh_Lower:RHipMoment,,,HRI_Hitesh_Lower:RHipPower,,,HRI_Hitesh_Lower:RKneeAngles,,,HRI_Hitesh_Lower:RKneeForce,,,HRI_Hitesh_Lower:RKneeMoment,,,HRI_Hitesh_Lower:RKneePower,,,HRI_Hitesh_Lower:RPelvisAngles,,,HRI_Hitesh_Lower:RTI,,,,,,,,,HRI_Hitesh_Lower:RTO,,,,,,,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ,RX,RY,RZ,TX,TY,TZ,SX,SY,SZ
10,0,,,,,,,,,,,,,,,,-2.80748,-34.6273,234.272,-198.851,388.139,513.686,350.614,350.614,350.614,,,,,,,,,,,,,-2.38813,4.66955,31.9831,,,,,,,,,,,,,,,,,,,,,,11.0889,-1.37148,1.31046,,,,,,,,,,,,,,,,,,,7.54167,9.89426,-90.8615,-249.129,307.824,855.042,173.755,173.755,173.755,5.75014,0,0,12.2154,11.8287,-61.7371,-0.13913,-0.0256032,-0.00394913,-12.9847,9.76852e-16,2.62319,0,0,0.00012826,8.60869,5.20041,-44.0561,-345.874,371.677,493,369.866,369.866,369.866,160.781,102.513,144.717,-445.541,320.83,73.4796,187.129,187.129,187.129,-87.5005,-10.1904,-14.1432,1.40081,-0.133223,46.9802,-0.147803,0.17378,1.53772,53.5852,-27.5255,3.1965,0,0,-0.00313781,4.68772,-3.61694,1.36744,-0.105453,0.0219026,0.581279,-21.6822,5.86593,2.37664,0,0,0.00044746,11.0889,1.37148,-1.31046,7.1016,10.9108,-41.9835,-399.36,445.671,88.7716,370.099,370.099,370.099,160.781,102.513,144.717,-460.782,260.402,70.8418,62.3765,62.3765,62.3765
11,0,,,,,,,,,,,,,,,,-2.72247,-34.5424,234.292,-198.849,387.884,513.68,350.571,350.571,350.571,,,,,,,,,,,,,-2.33268,4.69452,31.9965,,,,,,,,,,,,,,,,,,,,,,11.0948,-1.3592,1.29365,,,,,,,,,,,,,,,,,,,7.55722,9.88796,-90.8456,-249.043,307.858,855.035,173.755,173.755,173.755,5.75686,0,0,12.2213,11.8181,-61.716,-0.139332,-0.0257363,-0.00400792,-13.0005,-2.14114e-16,2.59966,0,0,0.000153303,8.58628,5.20037,-44.1107,-345.812,371.559,492.959,369.856,369.856,369.856,160.768,102.463,144.727,-445.53,320.802,73.4512,187.129,187.129,187.129,-87.5025,-10.181,-14.1724,1.42716,-0.148845,46.9086,-0.145261,0.175134,1.53702,53.3434,-27.2364,3.17534,0,0,-0.00354679,4.70107,-3.59686,1.37363,-0.105365,0.021806,0.581458,-21.9282,5.94137,2.35602,0,0,0.000607505,11.0948,1.3592,-1.29365,7.10666,10.9165,-42.0336,-399.286,445.62,88.74,370.1,370.1,370.1,160.768,102.463,144.727,-460.802,260.381,70.8159,62.3765,62.3765,62.3764
12,0,,,,,,,,,,,,,,,,-2.6271,-34.447,234.315,-198.845,387.599,513.675,350.524,350.524,350.524,,,,,,,,,,,,,-2.27041,4.72287,32.0117,,,,,,,,,,,,,,,,,,,,,,11.1016,-1.3451,1.27528,,,,,,,,,,,,,,,,,,,7.57498,9.88082,-90.8283,-248.945,307.897,855.028,173.755,173.755,173.755,5.76439,0,0,12.2283,11.8068,-61.6931,-0.139535,-0.0259283,-0.00410397,-13.015,1.57954e-15,2.5783,0,0,0.000180425,8.56121,5.20004,-44.1697,-345.74,371.428,492.912,369.844,369.844,369.844,160.754,102.412,144.738,-445.519,320.77,73.422,187.129,187.129,187.129,-87.5047,-10.1717,-14.2028,1.45692,-0.166639,46.8313,-0.145406,0.17657,1.53547,53.9729,-26.956,3.16732,0,0,-0.00399072,4.71737,-3.57498,1.38125,-0.106284,0.0217203,0.581428,-22.3475,5.99918,2.33794,0,0,0.000794228,11.1016,1.3451,-1.27528,7.11229,10.9239,-42.0864,-399.21,445.565,88.7075,370.1,370.099,370.1,160.754,102.412,144.738,-460.823,260.357,70.7892,62.3765,62.3765,62.3765
13,0,,,,,,,,,,,,,,,,-2.52093,-34.3407,234.339,-198.838,387.282,513.668,350.472,350.472,350.472,,,,,,,,,,,,,-2.20093,4.75465,32.0289,,,,,,,,,,,,,,,,,,,,,,11.1094,-1.32916,1.25528,,,,,,,,,,,,,,,,,,,7.59507,9.87287,-90.8095,-248.833,307.941,855.019,173.755,173.755,173.755,5.77274,0,0,12.2365,11.7948,-61.6688,-0.13978,-0.0260791,-0.00423019,-13.0321,-4.20227e-15,2.55027,0,0,0.00021026,8.53337,5.19946,-44.2324,-345.657,371.285,492.859,369.832,369.832,369.832,160.741,102.358,144.749,-445.508,320.735,73.3923,187.129,187.129,187.129,-87.5067,-10.1623,-14.2342,1.49024,-0.186761,46.7485,-0.144281,0.177297,1.53448,54.2836,-26.5425,3.14618,0,0,-0.00442654,4.73678,-3.55116,1.39028,-0.106856,0.0215304,0.581488,-22.6721,6.05251,2.31356,0,0,0.000990518,11.1094,1.32916,-1.25528,7.11852,10.9333,-42.1417,-399.133,445.506,88.6744,370.096,370.096,370.096,160.741,102.358,144.749,-460.846,260.331,70.7621,62.3765,62.3765,62.3765
14,0,,,,,,,,,,,,,,,,-2.4036,-34.2226,234.365,-198.826,386.933,513.659,350.415,350.415,350.415,,,,,,,,,,,,,-2.12397,4.78989,32.0483,,,,,,,,,,,,,,,,,,,,,,11.1181,-1.31132,1.23357,,,,,,,,,,,,,,,,,,,7.61752,9.86406,-90.7892,-248.707,307.991,855.008,173.755,173.755,173.755,5.78193,0,0,12.2459,11.7822,-61.6433,-0.140029,-0.0262807,-0.00445584,-13.0483,1.15312e-15,2.52478,0,0,0.000241864,8.50263,5.19865,-44.2984,-345.564,371.128,492.799,369.82,369.82,369.82,160.727,102.302,144.76,-445.498,320.698,73.3626,187.129,187.129,187.129,-87.5087,-10.1531,-14.2663,1.52724,-0.209388,46.6608,-0.146302,0.178541,1.5332,55.6017,-26.337,3.14506,0,0,-0.00492611,4.75945,-3.52522,1.40068,-0.1086,0.0216231,0.581489,-23.1983,6.02554,2.2921,0,0,0.00122235,11.1181,1.31132,-1.23357,7.12546,10.9446,-42.199,-399.053,445.443,88.6416,370.088,370.088,370.088,160.727,102.303,144.76,-460.869,260.302,70.7349,62.3765,62.3765,62.3765
15,0,,,,,,,,,,,,,,,,-2.27481,-34.0922,234.392,-198.809,386.551,513.65,350.354,350.354,350.354,,,,,,,,,,,,,-2.03921,4.82853,32.0705,,,,,,,,,,,,,,,,,,,,,,11.1279,-1.29161,1.21006,,,,,,,,,,,,,,,,,,,7.6424,9.85442,-90.7671,-248.565,308.048,854.997,173.755,173.755,173.755,5.79198,0,0,12.2568,11.7691,-61.6168,-0.140272,-0.0264368,-0.00460931,-13.0628,2.90911e-15,2.49316,0,0,0.000275804,8.46892,5.19771,-44.367,-345.461,370.959,492.732,369.808,369.808,369.808,160.714,102.246,144.772,-445.488,320.658,73.3333,187.129,187.129,187.129,-87.5105,-10.1441,-14.299,1.56801,-0.234671,46.5687,-0.147024,0.178828,1.53281,56.4875,-25.9115,3.12457,0,0,-0.00539152,4.78543,-3.49697,1.41236,-0.109771,0.021497,0.581632,-23.575,6.03439,2.26492,0,0,0.00145088,11.1279,1.29161,-1.21006,7.13318,10.958,-42.2575,-398.974,445.378,88.6095,370.075,370.075,370.075,160.714,102.246,144.772,-460.894,260.271,70.7079,62.3765,62.3764,62.3764
16,0,,,,,,,,,,,,,,,,-2.1343,-33.9487,234.42,-198.785,386.134,513.639,350.287,350.287,350.287,,,,,,,,,,,,,-1.94643,4.87049,32.0955,,,,,,,,,,,,,,,,,,,,,,11.1386,-1.27007,1.18464,,,,,,,,,,,,,,,,,,,7.66963,9.84401,-90.7433,-248.408,308.113,854.983,173.755,173.755,173.755,5.80282,0,0,12.269,11.7557,-61.5896,-0.140536,-0.026592,-0.00487721,-13.0783,3.71744e-15,2.46002,0,0,0.000311514,8.43217,5.19666,-44.4375,-345.348,370.777,492.657,369.796,369.796,369.796,160.702,102.188,144.784,-445.478,320.616,73.3049,187.129,187.129,187.129,-87.512,-10.1354,-14.3318,1.61258,-0.262711,46.4729,-0.150097,0.179591,1.53155,58.1047,-25.7034,3.11559,0,0,-0.00592041,4.8148,-3.46623,1.42515,-0.111766,0.0216462,0.581566,-24.0808,5.96066,2.23657,0,0,0.00170963,11.1386,1.27007,-1.18464,7.14178,10.9734,-42.3169,-398.894,445.309,88.5789,370.057,370.057,370.057,160.702,102.188,144.784,-460.919,260.237,70.6814,62.3765,62.3765,62.3765
17,0,,,,,,,,,,,,,,,,-1.98188,-33.7915,234.449,-198.754,385.684,513.625,350.216,350.216,350.216,,,,,,,,,,,,,-1.84538,4.91559,32.124,,,,,,,,,,,,,,,,,,,,,,11.1504,-1.24679,1.1572,,,,,,,,,,,,,,,,,,,7.69918,9.83288,-90.7176,-248.235,308.186,854.968,173.755,173.755,173.755,5.81443,0,0,12.2828,11.7421,-61.5621,-0.14079,-0.0268292,-0.00519553,-13.0921,2.30696e-15,2.43341,0,0,0.000347895,8.39228,5.19562,-44.509,-345.226,370.583,492.574,369.784,369.784,369.784,160.69,102.131,144.797,-445.469,320.572,73.2778,187.129,187.129,187.129,-87.5131,-10.1269,-14.3646,1.66101,-0.293619,46.374,-0.153591,0.179419,1.53128,59.9813,-25.3234,3.11415,0,0,-0.0064244,4.84753,-3.43276,1.43883,-0.114176,0.0216703,0.581623,-24.6546,5.89987,2.21509,0,0,0.00198307,11.1504,1.24679,-1.1572,7.15132,10.9909,-42.3765,-398.815,445.239,88.5504,370.031,370.031,370.031,160.69,102.131,144.797,-460.944,260.202,70.6558,62.3765,62.3765,62.3765
18,0,,,,,,,,,,,,,,,,-1.81749,-33.6199,234.479,-198.714,385.199,513.609,350.139,350.139,350.139,,,,,,,,,,,,,-1.73591,4.9636,32.1562,,,,,,,,,,,,,,,,,,,,,,11.1632,-1.22193,1.12759,,,,,,,,,,,,,,,,,,,7.73091,9.82111,-90.6898,-248.045,308.267,854.951,173.755,173.755,173.755,5.82681,0,0,12.2982,11.7286,-61.5345,-0.141026,-0.0270493,-0.0054944,-13.1038,-1.89963e-15,2.40474,0,0,0.000385302,8.34924,5.19465,-44.5805,-345.096,370.378,492.482,369.774,369.774,369.774,160.678,102.073,144.81,-445.461,320.526,73.2525,187.129,187.129,187.129,-87.5136,-10.1188,-14.3971,1.71324,-0.327431,46.2729,-0.157737,0.179441,1.53089,62.0057,-25.0264,3.10896,0,0,-0.00694714,4.88361,-3.39634,1.45319,-0.116686,0.0217509,0.581659,-25.2148,5.82679,2.19191,0,0,0.0022638,11.1632,1.22193,-1.12759,7.16194,11.0103,-42.4356,-398.736,445.168,88.5248,369.997,369.997,369.997,160.678,102.073,144.81,-460.97,260.165,70.6314,62.3765,62.3765,62.3764
19,0,,,,,,,,,,,,,,,,-1.641,-33.4333,234.509,-198.665,384.678,513.59,350.058,350.058,350.058,,,,,,,,,,,,,-1.61787,5.01428,32.1926,,,,,,,,,,,,,,,,,,,,,,11.177,-1.19562,1.09567,,,,,,,,,,,,,,,,,,,7.76467,9.80875,-90.6599,-247.838,308.359,854.933,173.755,173.755,173.755,5.83987,0,0,12.3152,11.7153,-61.5073,-0.141245,-0.0272687,-0.00587868,-13.1136,-8.01668e-16,2.37584,0,0,0.00042322,8.30303,5.19386,-44.6511,-344.959,370.162,492.382,369.765,369.765,369.765,160.667,102.016,144.825,-445.452,320.48,73.2293,187.129,187.129,187.129,-87.5134,-10.111,-14.4289,1.7692,-0.364222,46.1704,-0.163259,0.179422,1.531,64.4601,-24.8954,3.11214,0,0,-0.0075132,4.92295,-3.35675,1.46797,-0.11969,0.0221515,0.581681,-25.8495,5.67848,2.16883,0,0,0.00257058,11.177,1.19562,-1.09567,7.1737,11.0317,-42.4936,-398.66,445.096,88.5028,369.955,369.955,369.955,160.667,102.016,144.825,-460.995,260.128,70.6084,62.3765,62.3764,62.3765
